id,species,site,red.mean,red.sd,red.median,green.mean,green.sd,green.median,blue.mean,blue.sd,blue.median
WG1_002,formosa,Clearwater,181.82,25.17,188,112.37,24.58,117,78.17,21.02,81
WG1_003,formosa,Clearwater,105.73,37.33,115,68.33,28.15,73,40.91,20.86,42
WG1_004,formosa,Clearwater,74,12.13,73,43.92,11.41,43,39.7,13.67,38
WG1_005,formosa,Clearwater,121.5,49.61,122,72.1,33.88,74,47.41,25.72,49
WG1_006,formosa,Clearwater,123.38,21.8,127,69.32,16.17,71,63.93,16.22,66
WG1_007,formosa,Clearwater,178.12,25.51,182,113.89,24.04,115,84.21,20.3,85
WG1_008,formosa,Clearwater,111.1,24.5,112,65.36,19.1,66,64.85,21.63,65
WG1_009,formosa,Clearwater,104.84,16.82,105,62.07,13.32,61,47.88,12.02,47
WG2_001,formosa,Clearwater,74.02,17.79,73,43.75,16.14,43,32,15.23,31
WG2_002,formosa,Clearwater,55.93,23.18,50,32.66,19.34,27,27.4,19.65,19
WG2_003,formosa,Clearwater,71.67,13.14,73,38.92,9.78,39,31.57,9.59,31
WG2_004,formosa,Clearwater,87.89,21.09,85,51.65,19.22,48,49.21,24.03,43
WG2_005,formosa,Clearwater,94.32,27.85,91,54.75,20.62,52,49.62,22.54,46
WG2_006,formosa,Clearwater,80.4,16.87,81,46.07,14.51,46,39.64,14.02,40
WG2_007,formosa,Clearwater,87.43,19.02,88,49.87,15.71,51,41.75,15.89,43
WG2_008,formosa,Clearwater,114.03,23.02,114,72.23,20,71,62.24,19.59,62
WG2_009,formosa,Clearwater,74.42,13.05,75,43.48,12.16,43,38.16,11.96,38
WG2_010,formosa,Clearwater,78.42,14.76,79,43.6,14.47,43,33.35,12.22,32
WG3_001,formosa,Clearwater,115.56,27.58,116,67.25,23.87,67,53.81,25.44,53
WG3_002,formosa,Clearwater,96.44,24.37,98,62.63,20.32,63,47.76,18.8,48
WG3_003,formosa,Clearwater,147.35,22.02,152,88.04,21.31,90,53.11,18.37,54
WG3_004,formosa,Clearwater,183.3,22.1,188,111.98,24.76,113,86.27,22.3,86
WG3_005,formosa,Clearwater,150.14,24.48,151,86.32,18.72,86,68.19,19.44,67
WG3_006,formosa,Clearwater,161.51,24.07,164,106.81,26.18,109,98.84,28.43,99
WG3_007,formosa,Clearwater,174.58,22.45,173,121.03,26.23,116,99.32,29.42,94
WG3_008,formosa,Clearwater,178.56,23.97,182,111.09,29.58,109,82.29,27.74,79
WG3_009,formosa,Clearwater,185.78,24.88,188,122.95,33.05,120,88.07,28.32,86
WG3_010,formosa,Clearwater,160.22,26.61,167,95.84,27.59,98,71.04,28.22,70
WG4_001,formosa,Clearwater,149.46,43.63,152,90.62,37.18,88,63.62,32.82,60
WG4_002,formosa,Clearwater,152.28,43.23,57,97.91,39.22,99,80.28,41.28,81
WG4_003,formosa,Clearwater,159.18,30.83,165,105.44,31.44,111,93.97,30.32,98
WG4_004,formosa,Clearwater,153.17,30.04,157,91.81,30.41,93,93.05,37.14,94
WG4_005,formosa,Clearwater,174.53,29.73,181,112.69,32.58,116,108.97,36.21,111
WG4_006,formosa,Clearwater,149.21,31.41,158,104.95,35.22,113,116.16,42.05,128
WG4_007,formosa,Clearwater,156.24,34.97,162,110.74,39.3,111,120.15,46.4,123
WG4_008,formosa,Clearwater,187.22,29.37,195,115.35,31.41,116,92.07,30.32,93
WG4_009,formosa,Clearwater,148.07,26.41,148,96.86,27.96,94,99.7,28.17,99
WG4_010,formosa,Clearwater,145.78,30.64,149,88.94,27.48,89,99.34,35.39,100
MK_01_mean,flavescens,Mt. Kobau,189.22,24.585,191.5,191.88,23.7,194,164.125,22.735,165.5
MK_02_mean,flavescens,Mt. Kobau,200.635,25.63,199,198.405,25.2,197.5,149.485,30.26,145.5
MK_03_mean,flavescens,Mt. Kobau,173.86,15.85,174,177.59,14.97,177.5,119.96,21.71,120.5
MK_04_mean,flavescens,Mt. Kobau,193.79,20.935,195.5,190.885,20.425,192.5,144.055,26.09,144.5
MK_05_mean,flavescens,Mt. Kobau,223.835,17.27,230,222.42,17.41,228,165.37,34.41,174
MK_06_mean,flavescens,Mt. Kobau,155,21.855,151.5,157.52,20.98,153.5,115.065,23.655,110.5
MK_07_mean,flavescens,Mt. Kobau,155.87,14.98,156.5,157.615,14.63,158.5,137.985,15.815,139
MK_08_mean,flavescens,Mt. Kobau,148.965,38.83,150,120.47,38.7,117,115.755,39.72,115.5
MK_09,flavescens,Mt. Kobau,181.44,23.87,184,185.39,22.23,188,169.2,32.06,177
MK_10_mean,flavescens,Mt. Kobau,169.1,22.17,172,168.25,22.405,171,127.26,26.91,129.5
MK_11,flavescens,Mt. Kobau,154.55,37.62,151,157.64,36.36,155,102.57,33.97,99
MK_12,flavescens,Mt. Kobau,196.34,19.72,198,198.69,19.08,200,146.78,28.74,146
MK_13,flavescens,Mt. Kobau,177.19,28.14,178,177.84,27.31,178,126.87,28.58,120
MK_14,flavescens,Mt. Kobau,143.36,33.39,148,144.58,32.12,149,90.13,29.83,89
MK_15,flavescens,Mt. Kobau,148.09,31.78,142,142.49,34.94,136,95.22,30.68,87
MK_16,flavescens,Mt. Kobau,122.96,29.02,114,122.72,27.43,114,59.14,14.61,56
MK_17,flavescens,Mt. Kobau,181.83,14.14,184,186.04,14.27,189,161.11,21.13,166
MK_18,flavescens,Mt. Kobau,164.72,21.92,170,162.86,21.71,168,106.73,17.47,110
MK_19,flavescens,Mt. Kobau,191.84,32.51,199,190.6,31.77,197,142.49,34.8,147
MK_20,flavescens,Mt. Kobau,156.52,27.45,153,154.13,28.75,154,111.15,23.74,108
PC_01,formosa,Pavilion Clinton HWY,111.46,15.33,112,65.31,11.48,65,68.78,16.62,68
PC_02,formosa,Pavilion Clinton HWY,147.09,22.8,148,113.09,20.37,113,124.05,23.39,126
PC_03,formosa,Pavilion Clinton HWY,114.9,21.99,117,87.74,21.53,88,111.35,27.72,115
PC_04,formosa,Pavilion Clinton HWY,150.62,40.31,163,106.69,34.32,112,110.75,41.89,117
PC_05,formosa,Pavilion Clinton HWY,152.22,19.66,154,98.45,19.76,99,109.56,23.1,109
PC_06,formosa,Pavilion Clinton HWY,123.45,15.84,122,85.16,15.33,84,87.44,16.97,87
PC_07,formosa,Pavilion Clinton HWY,103.52,21.46,107,69.11,22.19,71,60.57,26.93,60
PC_08,formosa,Pavilion Clinton HWY,120.9,31.14,123,97.14,31.54,97,88.34,36.69,86
PC_09,formosa,Pavilion Clinton HWY,141.01,16.01,140,118.34,16.94,116,127.46,24.19,127
PP_04,hybrid,Porcupine Ridge,156.45,18.53,155,130.68,21.07,129,103.66,26.11,102
PP_06,hybrid,Porcupine Ridge,127.35,18.08,127,116.25,14.64,115,112.21,22.69,108
PP_2772,hybrid,Porcupine Ridge,107.73,38.55,99,77.23,37.95,64,67.68,30,57
PP_2774,hybrid,Porcupine Ridge,89.56,10.38,88,60.74,12.5,59,52.16,10.24,53
PP_2776,hybrid,Porcupine Ridge,113.29,26.52,113,67.07,28.92,62,62.45,26.15,57
PP_05,hybrid,Porcupine Ridge,142.7,25.27,141,137.53,24.41,133,86.16,26.45,81
PP_03,hybrid,Porcupine Ridge,164.64,28.18,170,108.63,28.4,112,80.86,20.76,83
PP_07,hybrid,Porcupine Ridge,120.51,13.82,120,86.91,16.35,87,87.37,20.32,87
PP_02,hybrid,Porcupine Ridge,141.61,31.22,141,122.43,33.42,122,83.89,33.06,85
PP_09,hybrid,Porcupine Ridge,158.94,33.56,162,122.93,32.75,121,86.25,33.4,84
PP_01,hybrid,Porcupine Ridge,160.33,25.83,167,107.15,35.35,109,115.85,35.54,119
PP_12,hybrid,Porcupine Ridge,161.17,14.06,163,127.5,20.03,127,93.41,20.37,93
PP_11,hybrid,Porcupine Ridge,147.21,20.54,147,97.43,26.35,94,88.07,27.1,87
PP_10,hybrid,Porcupine Ridge,149.27,29.27,145,113.13,30.37,109,115.97,40.1,111
PP_08,hybrid,Porcupine Ridge,130.28,18.19,129,109.6,20.08,107,98.87,21.53,99
PP_13,hybrid,Porcupine Ridge,138.65,14.79,138,103.92,15.72,103,113.78,19.75,113
PP_14,hybrid,Porcupine Ridge,157.81,14.71,158,147.04,18.22,148,141.45,24.63,144
PP_15,hybrid,Porcupine Ridge,104.07,24.01,106,51.9,18.18,51,59.48,19.58,59
PP_16,hybrid,Porcupine Ridge,169.42,19.58,169,143.57,20.95,144,145.58,26.18,147
PP_17,hybrid,Porcupine Ridge,159.88,24.55,161,100.7,26.6,102,119.97,30.2,125
PP_18,hybrid,Porcupine Ridge,142.01,43.35,140,82.22,48.13,68,67.4,42.42,54
PP_19,hybrid,Porcupine Ridge,135.6,52.09,123,91.02,55.41,68,74.57,56.81,47
PP_21,hybrid,Porcupine Ridge,107.58,17.51,109,59.38,21.5,57,54.48,21.04,52
PP_25,hybrid,Porcupine Ridge,110.94,32.45,103,87.56,32.9,79,82.54,35.02,77
PP_23,hybrid,Porcupine Ridge,152.41,25.88,150,132.69,30.9,131,110.56,34.81,109
PP_20,hybrid,Porcupine Ridge,154.87,18.32,154,73.48,16.37,72,66.91,20.46,64
PP_24,hybrid,Porcupine Ridge,162.13,23.44,158,130.22,20.79,126,113.31,22.78,109
PP_28,hybrid,Porcupine Ridge,155.17,21.24,154,101.49,27.82,96,99.51,26.06,95
PP_27,hybrid,Porcupine Ridge,156.44,18.02,158,137.81,17.89,137,87.25,24.68,87
PP_26,hybrid,Porcupine Ridge,151.64,24.01,151,105.77,28.51,103,98.71,28.4,97
PP_29,hybrid,Porcupine Ridge,178.51,19.42,180,123.65,29.71,123,118.18,36.51,118
PP_30,hybrid,Porcupine Ridge,192.58,17.65,195,148.3,29.22,151,156.38,31.28,162
PP_31,hybrid,Porcupine Ridge,93.01,19.27,95,64.82,20.67,65,36.32,16.2,36
PP_32,hybrid,Porcupine Ridge,154.81,18.27,159,113.23,22.47,117,82.97,21.71,87
PP_33,hybrid,Porcupine Ridge,185.96,16.83,188,132.66,29.18,131,131.88,25.27,129
PP_34,hybrid,Porcupine Ridge,170.66,26.77,166,140.07,30.43,131,101.62,36.5,87
PP_35,hybrid,Porcupine Ridge,135.39,15.38,137,93.36,22.19,93,67.62,24.45,65
PP_36,hybrid,Porcupine Ridge,185.89,13.98,188,142.01,22.03,146,129.06,25.8,134
PP_37,hybrid,Porcupine Ridge,170.97,16.71,172,165.34,18.91,167,157.64,18.11,159
MR_01,flavescens,Mission Ridge,165.77,,,160.78,,,,,
MR_02,flavescens,Mission Ridge,180.42,,,164.4,,,,,
MR_03,flavescens,Mission Ridge,149.91,,,153.29,,,,,
MR_04,flavescens,Mission Ridge,141.51,,,142.02,,,,,
MR_05,flavescens,Mission Ridge,162.58,,,165.56,,,,,
MR_06,flavescens,Mission Ridge,153.05,,,152.46,,,,,
MR_07,flavescens,Mission Ridge,151.82,,,154.71,,,,,
MR_08,flavescens,Mission Ridge,151.95,,,148.39,,,,,
MR_09,flavescens,Mission Ridge,158.8,,,154.15,,,,,
MR_10,flavescens,Mission Ridge,137.79,,,132.26,,,,,
MR_11,flavescens,Mission Ridge,118.37,,,96.63,,,,,
MR_12,flavescens,Mission Ridge,166.09,,,166.72,,,,,
MR_13,flavescens,Mission Ridge,115.41,,,111.41,,,,,
MR_14,flavescens,Mission Ridge,200.16,,,193.35,,,,,
MR_15,flavescens,Mission Ridge,169.99,,,152.69,,,,,
MR_16,flavescens,Mission Ridge,161.47,,,151.53,,,,,
MR_17,flavescens,Mission Ridge,154.58,,,149.08,,,,,
MR_18,flavescens,Mission Ridge,153.79,,,135,,,,,
MR_19,flavescens,Mission Ridge,167.09,,,162,,,,,
GL_3362,flavescens,Cheops Mountain,156.69,25.01,156,151.93,24.54,150,84,33.81,81
GL_3365,flavescens,Cheops Mountain,169.75,31.05,172,161.5,31.09,161,110.31,37.63,108
GL_3368,flavescens,Cheops Mountain,160.49,19.61,162,134.33,19.99,134,96.52,23.47,98
GL_3370,flavescens,Cheops Mountain,185.26,24.53,188,161.96,27.56,162,117.11,33.2,118
GL_3373,flavescens,Cheops Mountain,149.37,17.85,150,143.13,16.93,144,87.13,23.49,88
GL_3376,flavescens,Cheops Mountain,206.95,17.74,211,188.38,19.39,193,148.74,25.15,153
GL_3378,flavescens,Cheops Mountain,158.64,40.88,156,147.8,39.5,144,97.78,39.18,86
GL_3380,flavescens,Cheops Mountain,218.83,31.82,230,204.37,35.33,216,141.73,49.65,153
GL_3388,flavescens,Cheops Mountain,173.61,22.72,175,163.51,21.7,165,112.93,25.11,114
GL_3389,flavescens,Cheops Mountain,168.68,37.91,174,158.35,38.26,164,109.27,39.2,111
GL_3390,flavescens,Cheops Mountain,179.83,34.99,186,168.25,37.05,176,112.45,47.68,116
GL_3391,flavescens,Cheops Mountain,194.1,24.38,195,174.79,25.77,173,128.88,32.85,127
GL_3394,flavescens,Cheops Mountain,185.87,26.72,190,143.06,30.57,146,100.31,30.12,104
GL_3395,flavescens,Cheops Mountain,182.8,35.3,192,170.7,35.54,178,106.4,44.4,107
GL_3396,flavescens,Cheops Mountain,179.65,30.1,187,169.36,29.43,177,124.37,30.48,127
GL_3397,flavescens,Cheops Mountain,176.98,13.14,177,169.11,13.13,169,128.26,21.92,129
GL_3401,flavescens,Cheops Mountain,180.49,22.9,181,162.68,26.64,164,128.01,32.09,129
GL_3405,flavescens,Cheops Mountain,190.59,17.31,191,126.83,23.41,123,98.42,21.84,97
GL_3406,flavescens,Cheops Mountain,216.84,13.89,220,210.79,12.12,214,118.07,24.22,118
GL_3408,flavescens,Cheops Mountain,185.01,35.93,187,172.2,35.33,172,98.93,44.96,88
GL_3412,flavescens,Cheops Mountain,205.94,34,210,154.47,46.6,148,108.49,47.85,92
GL_3413,flavescens,Cheops Mountain,176.15,33.26,168,165.79,32.91,159,96.53,41.39,87
GL_3416,flavescens,Cheops Mountain,185.9,39.56,187,169.68,38.93,169,101.53,47.96,89
RL_5530,formosa,Robert's Lake,133.09,26.11,134,86.38,22.33,86,78.94,22.06,79
RL_1011,formosa,Robert's Lake,90.6,17.34,90,57.07,15.73,55,51.24,19.74,49
RL_2043,formosa,Robert's Lake,157.64,22.84,162,108.85,24.53,108,98.78,23.24,98
RL_4058,formosa,Robert's Lake,140.16,33.01,145,90.62,27.4,90,80.11,32.74,75
RL_5534,formosa,Robert's Lake,132.85,17.98,131,83.15,16.16,80,77.23,18.79,74
RL_3131,formosa,Robert's Lake,114.89,16.48,115,68.66,12.81,69,54.95,11.66,55
RL_1407,formosa,Robert's Lake,109.7,29.78,105,72.51,24.53,69,59.01,25.13,54
RL_1941,formosa,Robert's Lake,153.45,21.59,154,95.54,18.83,95,87,19.27,87
RL_2616,formosa,Robert's Lake,170.81,31.52,167,109.03,35.47,100,86.08,34.1,77
RL_3340,formosa,Robert's Lake,114.78,19.03,113,66.15,11.78,66,52.34,11.41,53